,source,author,title,description,url,urlToImage,publishedAt,content
10,"{'id': None, 'name': 'Marketwatch.com'}",Nigam Arora,The force that’s propelled the stock market rally will exhaust itself this week,"As of last week, the S&P 500 had risen over 20% from its mid-March low. That explosive rally will soon be over, argues Nigam Arora.",https://www.marketwatch.com/story/the-force-thats-propelled-the-stock-market-rally-will-exhaust-itself-this-week-2020-04-13,https://s.marketwatch.com/public/resources/images/MW-IE290_missil_ZG_20200413113935.jpg,2020-04-13T15:41:29Z,"The force that has propelled the stock market rally is about to exhaust itself this week. That force is related to a short-squeeze. Lets explore with the help of a chart. Please click here for an annotated chart of Dow Jones Industrial Average ETF
 DIA, 
 -… [+4342 chars]"
11,"{'id': None, 'name': 'Marketwatch.com'}",Mark DeCambre,Key Words: Bill Gates says U.S. government can’t ‘wave a wand’ and ‘all of a sudden the economy is anything like it was before’ the coronavirus pandemic,"Bill Gates, the co-founder of Microsoft, says getting back to normalcy for the economy cannot be achieved easily by the government.",http://www.marketwatch.com/story/bill-gates-says-us-government-cant-wave-a-wand-and-all-of-a-sudden-the-economy-is-anything-like-it-was-before-the-coronavirus-pandemic-2020-04-09,https://s.marketwatch.com/public/resources/images/MW-IE117_gates__ZH_20200409090409.jpg,2020-04-09T14:33:34Z,"“
 No one should think the government can wave a wand an all of sudden the economy is anything like it was before this happened. 
 ”
 Bill Gates 
That is billionaire Bill Gates, the co-founder of Microsoft
 MSFT, 
 -0.38%
and noted philanthropist durin… [+1537 chars]"
12,"{'id': None, 'name': 'Marketwatch.com'}",Emily Bary,The Ratings Game: Microsoft earnings show strategic pivot has paid off amid COVID-19 pressures,"Microsoft Corp. managed to beat March-quarter expectations from even before the COVID-19 outbreak began to take hold, suggesting to analysts that many strategic moves made by the company in recent years are generating a big payoff.",https://www.marketwatch.com/story/microsoft-earnings-show-strategic-pivot-has-paid-off-amid-covid-19-pressures-2020-04-30,https://s.marketwatch.com/public/resources/images/MW-GI919_micros_ZG_20180510083121.jpg,2020-04-30T17:21:14Z,"Microsoft Corp. managed to beat March-quarter expectations from even before the COVID-19 outbreak began to take hold, suggesting to analysts that many strategic moves made by the company in recent years are generating a big payoff. The company has worked very… [+2960 chars]"
13,"{'id': None, 'name': 'Marketwatch.com'}",Philip van Doorn,Deep Dive: The biggest stock-market lesson from the last 12 months: Stay calm,"In times like these, a longer-term perspective can help. While the S&P 500 is down 2% over the past year, the tech sector has climbed 16%. Here are the big winners.",https://www.marketwatch.com/story/the-biggest-stock-market-lesson-from-the-last-12-months-stay-calm-2020-04-15,https://s.marketwatch.com/public/resources/images/MW-HY358_ElonMu_ZG_20200114141631.jpg,2020-04-15T12:26:45Z,"Its not unusual to see tremendous bounces for stock prices during a bear market, and U.S. stocks have staged an impressive rally. A quick look back over the past year shows the U.S. market as a whole is down only moderately, while technology stocks have fared… [+11334 chars]"
14,"{'id': None, 'name': 'Marketwatch.com'}",Philip van Doorn,Deep Dive: Six stock picks from a five-star money manager’s ‘disruptive’ portfolio,"Alex Ely outperforms his fund’s benchmark by selecting companies that meet his ‘better, cheaper, faster’ mantra.",https://www.marketwatch.com/story/six-stock-picks-from-a-five-star-money-managers-disruptive-portfolio-2020-04-29,https://s.marketwatch.com/public/resources/images/MW-IF468_telehe_ZG_20200429104015.jpg,2020-04-29T16:32:27Z,"Alex Ely, manager of the $1.9 billion Delaware Smid Cap Growth Fund, says disruptive companies that have taken market share in the coronavirus crisis will continue to do well because theyre fundamentally better, cheaper, faster. We invest in disruptions, Ely … [+6987 chars]"
15,"{'id': None, 'name': 'Marketwatch.com'}",Barbara Kollmeyer,"Need to Know: Why ‘fleeing to cash’ in turbulent COVID-19 markets could be the worst plan, says Invesco strategist","Moving to cash as the pandemic creates vast uncertainty among investors, may not be the wisest plan for investors says our chart of the day. Our call says the leaders of last year are going to keep leading this stock market.",https://www.marketwatch.com/story/why-fleeing-to-cash-in-turbulent-covid-19-markets-could-be-the-worst-plan-says-invesco-strategist-2020-04-16,https://s.marketwatch.com/public/resources/images/MW-IE543_ws_160_ZG_20200416065507.jpg,2020-04-16T11:09:30Z,"More talk of reopening economies is giving stocks a boost on Thursday, but a test is coming ahead of the open, with another set of bleak unemployment claims in the U.S.No doubt its an incredibly tough time to be an investor, who are understandably facing thes… [+3942 chars]"
16,"{'id': None, 'name': 'Marketwatch.com'}",Nigam Arora,"Investors have $5.1 trillion hiding out in the shares of five companies, which will be tested this week",The companies’ earnings reports will be interpreted through the lens of confirmation bias.,https://www.marketwatch.com/story/investors-have-51-trillion-hiding-out-in-the-shares-of-five-companies-which-will-be-tested-this-week-2020-04-27,https://s.marketwatch.com/public/resources/images/MW-IC619_bear_c_ZG_20200319103541.jpg,2020-04-27T16:00:49Z,"The stock market is detached from Main Street that is what I hear from investors most often these days. Many are puzzled, while others are convinced that this is a suckers rally. There is merit to both bull and bear cases.Investors need to dig below the surfa… [+4436 chars]"
17,"{'id': None, 'name': 'Forbes.com'}","JJ Kinahan, Contributor, 
 JJ Kinahan, Contributor
 https://www.forbes.com/sites/jjkinahan/","Microsoft’s Three-Pronged Pincer: Business, Cloud, And Home","Last quarter, Microsoft’s (MSFT) solid earnings results helped kick off a sharp rally in the stock. Part of this rise had to do with MSFT’s guidance, which was better than many analysts had expected.",https://www.forbes.com/sites/jjkinahan/2020/04/27/microsofts-three-pronged-pincer-business-cloud-and-home/,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ea73b12332162000702a0af%2F0x0.jpg,2020-04-27T20:13:16Z,"Getty Images
Getty Images
Key Takeaways:
<ul><li>Microsoft 
 MSFT
 set to report Q3 earnings April 29</li><li>Despite Microsofts downward guidance revision due to supply, demand remains constant, according to the company</li><li>Microsofts cloud has been… [+7569 chars]"
18,"{'id': None, 'name': 'Marketwatch.com'}",Philip van Doorn,Deep Dive: Here are the stock market’s biggest winners on Wednesday as investors see new hope,Good news from Gilead Sciences and a statement from the Federal Reserve offset some grim economic numbers,https://www.marketwatch.com/story/here-are-the-stock-markets-biggest-winners-on-wednesday-as-investors-see-new-hope-2020-04-29,https://s.marketwatch.com/public/resources/images/MW-HF745_Boeing_ZG_20190314173750.jpg,2020-04-29T21:15:02Z,"U.S. stocks scored significant gains on Wednesday, as good news from Gilead Sciences and the Federal Reserves policy statement outweighed some dire economic numbers reflecting the price of the coronavirus shutdown.The Dow Jones Industrial Average
 DJIA, 
 +… [+10892 chars]"
19,"{'id': None, 'name': 'Investors.com'}",Investor's Business Daily,Microsoft Earnings Beat Views; MSFT Stock In Buy Zone - Investor's Business Daily,Software titan Microsoft easily topped Wall Street's targets for its fiscal third quarter. The Microsoft earnings news pushed MSFT stock higher.,https://www.investors.com/news/technology/microsoft-earnings-q3-2020-msft-stock/,https://www.investors.com/wp-content/uploads/2020/04/Stock-Microsoft-teams-03-comp.jpg,2020-04-29T22:21:13Z,"Software titan Microsoft (MSFT) late Wednesday easily topped Wall Street's targets for its fiscal third quarter thanks to strong sales of cloud computing services. The Microsoft earnings news pushed MSFT stock north in extended trading.
XThe Redmond, Wash.-b… [+3105 chars]"
